,Color,Intensity,Electrode,Signal,X,Y,Signal_N
0,Red,Low,0,2.98023238032e-11,4.25,1.25,7.58703606607e-07
1,Red,Mid,0,1.78813942819e-11,4.25,1.25,4.55222163964e-07
2,Red,High,0,5.96046476065e-12,4.25,1.25,1.51740721321e-07
3,Blue,Low,0,0.0,4.25,0.75,0.0
4,Blue,Mid,0,0.0,4.25,0.75,0.0
5,Blue,High,0,8.22448782856e-07,4.25,0.75,0.00822448823601
6,Green,Low,0,2.53003861417e-07,3.75,0.75,0.00253003858961
7,Green,Mid,0,6.79665845382e-07,3.75,0.75,0.00679665850475
8,Green,High,0,1.60216700351e-06,3.75,0.75,0.0160216707736
9,Red,Low,1,0.0,2.75,3.75,0.0
10,Red,Mid,1,0.0,2.75,3.75,0.0
11,Red,High,1,0.0,2.75,3.75,0.0
12,Blue,Low,1,0.0,2.75,4.25,0.0
13,Blue,Mid,1,0.0,2.75,4.25,0.0
14,Blue,High,1,1.82092193768e-07,2.75,4.25,0.0018209220143
15,Green,Low,1,1.04755166319e-07,3.25,4.25,0.00104755163193
16,Green,Mid,1,4.49353478871e-07,3.25,4.25,0.00449353503063
17,Green,High,1,1.1921525811e-06,3.25,4.25,0.0119215259328
18,Red,Low,2,0.0,4.25,3.75,0.0
19,Red,Mid,2,0.0,4.25,3.75,0.0
20,Red,High,2,0.0,4.25,3.75,0.0
21,Blue,Low,2,0.0,3.75,3.75,0.0
22,Blue,Mid,2,0.0,3.75,3.75,0.0
23,Blue,High,2,5.58871079193e-07,3.75,3.75,0.00558871077374
24,Green,Low,2,1.89659601801e-06,3.75,4.25,0.0189659614116
25,Green,Mid,2,3.06051992993e-06,3.75,4.25,0.0306052006781
26,Green,High,2,5.55276301384e-06,3.75,4.25,0.0555276311934
27,Red,Low,3,0.0,1.75,3.25,0.0
28,Red,Mid,3,0.0,1.75,3.25,0.0
29,Red,High,3,1.21235856909e-07,1.75,3.25,0.0030864062719
30,Blue,Low,3,7.28291297492e-07,2.25,3.25,0.00728291319683
31,Blue,Mid,3,2.24933046411e-06,2.25,3.25,0.0224933046848
32,Blue,High,3,9.22822437133e-06,2.25,3.25,0.092282243073
33,Green,Low,3,4.1259212594e-05,2.25,2.75,0.41259214282
34,Green,Mid,3,6.05532513873e-05,2.25,2.75,0.60553252697
35,Green,High,3,9.99999974738e-05,2.25,2.75,1.0
36,Red,Low,4,0.0,2.75,3.25,0.0
37,Red,Mid,4,1.99735179507e-08,2.75,3.25,0.000508483150043
38,Red,High,4,1.27086650537e-06,2.75,3.25,0.0323535501957
39,Blue,Low,4,1.14700678751e-05,3.25,3.25,0.114700682461
40,Blue,Mid,4,2.34075323533e-05,3.25,3.25,0.234075322747
41,Blue,High,4,7.32481712475e-05,3.25,3.25,0.732481718063
42,Green,Low,4,4.16866678279e-05,3.25,2.75,0.41686668992
43,Green,Mid,4,6.05548302701e-05,3.25,2.75,0.605548322201
44,Green,High,4,9.93227440631e-05,3.25,2.75,0.993227481842
45,Red,Low,5,0.0,4.25,3.25,0.0
46,Red,Mid,5,3.92805886804e-05,4.25,3.25,1.0
47,Red,High,5,0.0,4.25,3.25,0.0
48,Blue,Low,5,0.0,4.25,2.75,0.0
49,Blue,Mid,5,0.0,4.25,2.75,0.0
50,Blue,High,5,8.367479154e-07,4.25,2.75,0.00836747977883
51,Green,Low,5,2.00892691282e-06,3.75,2.75,0.020089270547
52,Green,Mid,5,3.30006491822e-06,3.75,2.75,0.033000651747
53,Green,High,5,6.12852591075e-06,3.75,2.75,0.0612852610648
54,Red,Low,6,0.0,5.25,3.25,0.0
55,Red,Mid,6,0.0,5.25,3.25,0.0
56,Red,High,6,0.0,5.25,3.25,0.0
57,Blue,Low,6,0.0,5.25,2.75,0.0
58,Blue,Mid,6,0.0,5.25,2.75,0.0
59,Blue,High,6,2.89249442176e-07,5.25,2.75,0.00289249443449
60,Green,Low,6,2.90036226147e-08,4.75,2.75,0.000290036230581
61,Green,Mid,6,3.3038261904e-07,4.75,2.75,0.00330382632092
62,Green,High,6,1.01048954093e-06,4.75,2.75,0.0101048955694
63,Red,Low,7,0.0,0.75,2.75,0.0
64,Red,Mid,7,0.0,0.75,2.75,0.0
65,Red,High,7,0.0,0.75,2.75,0.0
66,Blue,Low,7,7.53283515564e-08,1.25,2.75,0.000753283558879
67,Blue,Mid,7,8.79877859461e-07,1.25,2.75,0.00879877898842
68,Blue,High,7,4.5817141654e-06,1.25,2.75,0.0458171442151
69,Green,Low,7,2.64586051344e-05,1.25,2.25,0.264586061239
70,Green,Mid,7,3.86296887882e-05,1.25,2.25,0.386296898127
71,Green,High,7,6.47798951832e-05,1.25,2.25,0.647798955441
72,Red,Low,8,3.1540157579e-06,1.75,1.75,0.0802945122123
73,Red,Mid,8,6.95129665473e-06,1.75,1.75,0.17696519196
74,Red,High,8,2.18178702198e-05,1.75,1.75,0.555436432362
75,Blue,Low,8,6.61746089463e-05,1.75,2.25,0.66174608469
76,Blue,Mid,8,9.99999974738e-05,1.75,2.25,1.0
77,Blue,High,8,9.99999974738e-05,1.75,2.25,1.0
78,Green,Low,8,9.99999974738e-05,2.25,2.25,1.0
79,Green,Mid,8,9.99999974738e-05,2.25,2.25,1.0
80,Green,High,8,9.99999974738e-05,2.25,2.25,1.0
81,Red,Low,9,3.15700185638e-06,2.75,1.75,0.0803705304861
82,Red,Mid,9,6.89626358508e-06,2.75,1.75,0.175564154983
83,Red,High,9,2.14243536902e-05,2.75,1.75,0.545418322086
84,Blue,Low,9,4.15777903982e-05,2.75,2.25,0.415777921677
85,Blue,Mid,9,9.023626626e-05,2.75,2.25,0.902362704277
86,Blue,High,9,9.99999974738e-05,2.75,2.25,1.0
87,Green,Low,9,9.99999974738e-05,3.25,2.25,1.0
88,Green,Mid,9,9.99999974738e-05,3.25,2.25,1.0
89,Green,High,9,9.99999974738e-05,3.25,2.25,1.0
90,Red,Low,10,2.89076581339e-07,4.25,1.75,0.00735927326605
91,Red,Mid,10,1.22231847399e-06,4.25,1.75,0.0311176218092
92,Red,High,10,4.87181569042e-06,4.25,1.75,0.124026037753
93,Blue,Low,10,7.09348978489e-06,3.75,1.75,0.0709348991513
94,Blue,Mid,10,1.7443591787e-05,3.75,1.75,0.174435928464
95,Blue,High,10,7.26353900973e-05,3.75,1.75,0.726353943348
96,Green,Low,10,6.07522924838e-05,3.75,2.25,0.607522964478
97,Green,Mid,10,9.03363616089e-05,3.75,2.25,0.903363645077
98,Green,High,10,9.99999974738e-05,3.75,2.25,1.0
99,Red,Low,11,3.20937647302e-06,5.25,1.75,0.0817038789392
100,Red,Mid,11,7.04746298652e-06,5.25,1.75,0.179413378239
101,Red,High,11,2.20195961447e-05,5.25,1.75,0.560571968555
102,Blue,Low,11,7.42405172787e-05,4.75,1.75,0.742405176163
103,Blue,Mid,11,9.99999974738e-05,4.75,1.75,1.0
104,Blue,High,11,9.99999974738e-05,4.75,1.75,1.0
105,Green,Low,11,9.99999974738e-05,4.75,2.25,1.0
106,Green,Mid,11,9.99999974738e-05,4.75,2.25,1.0
107,Green,High,11,9.99999974738e-05,4.75,2.25,1.0
108,Red,Low,12,3.49977631231e-06,2.75,1.25,0.0890968367457
109,Red,Mid,12,7.57666884965e-06,2.75,1.25,0.192885830998
110,Red,High,12,2.34247872868e-05,2.75,1.25,0.596345126629
111,Blue,Low,12,4.26085898653e-05,3.25,1.25,0.426085919142
112,Blue,Mid,12,9.40873069339e-05,3.25,1.25,0.940873086452
113,Blue,High,12,9.99999974738e-05,3.25,1.25,1.0
114,Green,Low,12,9.99999974738e-05,3.25,0.75,1.0
115,Green,Mid,12,9.99999974738e-05,3.25,0.75,1.0
116,Green,High,12,9.99999974738e-05,3.25,0.75,1.0
